Country,Year,PercResistant,Antibiotic
Argentina,2004,36.8421052631579,Amoxycillin clavulanate
Argentina,2005,50.0,Amoxycillin clavulanate
Argentina,2006,39.53488372093023,Amoxycillin clavulanate
Argentina,2007,37.956204379562045,Amoxycillin clavulanate
Argentina,2008,39.1812865497076,Amoxycillin clavulanate
Argentina,2009,36.231884057971016,Amoxycillin clavulanate
Argentina,2010,47.22222222222222,Amoxycillin clavulanate
Argentina,2011,76.0,Amoxycillin clavulanate
Argentina,2012,38.028169014084504,Amoxycillin clavulanate
Argentina,2013,41.0958904109589,Amoxycillin clavulanate
Argentina,2014,41.904761904761905,Amoxycillin clavulanate
Argentina,2015,37.254901960784316,Amoxycillin clavulanate
Argentina,2016,38.55421686746988,Amoxycillin clavulanate
Argentina,2017,51.875,Amoxycillin clavulanate
Australia,2004,3.8461538461538463,Amoxycillin clavulanate
Australia,2005,0.0,Amoxycillin clavulanate
Australia,2006,3.9473684210526314,Amoxycillin clavulanate
Australia,2007,17.1875,Amoxycillin clavulanate
Australia,2008,15.254237288135593,Amoxycillin clavulanate
Australia,2009,6.779661016949152,Amoxycillin clavulanate
Australia,2010,0.0,Amoxycillin clavulanate
Australia,2012,2.816901408450704,Amoxycillin clavulanate
Australia,2013,6.796116504854369,Amoxycillin clavulanate
Australia,2014,3.6144578313253013,Amoxycillin clavulanate
Australia,2015,5.555555555555555,Amoxycillin clavulanate
Australia,2016,8.108108108108109,Amoxycillin clavulanate
Australia,2017,15.384615384615385,Amoxycillin clavulanate
Austria,2004,15.0,Amoxycillin clavulanate
Austria,2006,47.05882352941177,Amoxycillin clavulanate
Austria,2008,10.0,Amoxycillin clavulanate
Austria,2009,17.5,Amoxycillin clavulanate
Austria,2010,9.523809523809524,Amoxycillin clavulanate
Austria,2011,17.142857142857142,Amoxycillin clavulanate
Austria,2012,9.523809523809524,Amoxycillin clavulanate
Austria,2013,15.686274509803921,Amoxycillin clavulanate
Austria,2014,12.380952380952381,Amoxycillin clavulanate
Austria,2015,29.72972972972973,Amoxycillin clavulanate
Austria,2016,9.67741935483871,Amoxycillin clavulanate
Belgium,2004,17.857142857142858,Amoxycillin clavulanate
Belgium,2005,5.882352941176471,Amoxycillin clavulanate
Belgium,2006,19.35483870967742,Amoxycillin clavulanate
Belgium,2007,9.375,Amoxycillin clavulanate
Belgium,2008,22.950819672131146,Amoxycillin clavulanate
Belgium,2009,10.256410256410257,Amoxycillin clavulanate
Belgium,2010,10.81081081081081,Amoxycillin clavulanate
Belgium,2011,8.0,Amoxycillin clavulanate
Belgium,2012,16.33986928104575,Amoxycillin clavulanate
Belgium,2013,13.100436681222707,Amoxycillin clavulanate
Belgium,2014,11.952191235059761,Amoxycillin clavulanate
Belgium,2015,19.2,Amoxycillin clavulanate
Belgium,2016,24.031007751937985,Amoxycillin clavulanate
Belgium,2017,29.218106995884774,Amoxycillin clavulanate
Brazil,2004,40.0,Amoxycillin clavulanate
Brazil,2005,42.42424242424242,Amoxycillin clavulanate
Brazil,2006,18.181818181818183,Amoxycillin clavulanate
Brazil,2007,52.0,Amoxycillin clavulanate
Brazil,2008,31.666666666666668,Amoxycillin clavulanate
Brazil,2009,27.77777777777778,Amoxycillin clavulanate
Brazil,2010,100.0,Amoxycillin clavulanate
Brazil,2012,60.0,Amoxycillin clavulanate
Brazil,2013,43.529411764705884,Amoxycillin clavulanate
Brazil,2014,41.904761904761905,Amoxycillin clavulanate
Brazil,2015,44.5945945945946,Amoxycillin clavulanate
Brazil,2016,36.15819209039548,Amoxycillin clavulanate
Brazil,2017,52.47933884297521,Amoxycillin clavulanate
Bulgaria,2008,66.66666666666667,Amoxycillin clavulanate
Bulgaria,2009,38.93805309734513,Amoxycillin clavulanate
Bulgaria,2010,58.65384615384615,Amoxycillin clavulanate
Bulgaria,2011,78.26086956521739,Amoxycillin clavulanate
Canada,2004,2.3255813953488373,Amoxycillin clavulanate
Canada,2005,0.0,Amoxycillin clavulanate
Canada,2006,3.0303030303030303,Amoxycillin clavulanate
Canada,2007,4.895104895104895,Amoxycillin clavulanate
Canada,2008,8.823529411764707,Amoxycillin clavulanate
Canada,2009,3.5398230088495577,Amoxycillin clavulanate
Canada,2010,9.174311926605505,Amoxycillin clavulanate
Canada,2011,0.0,Amoxycillin clavulanate
Canada,2012,3.7974683544303796,Amoxycillin clavulanate
